GRUPO;LUGAR;FECHA;HORA
SONATA ARCTICA;Conciertos WiZink Center - Madrid;Viernes 04 octubre 2024;20:00 H.
LOS CHICHOS- HASTA AQUIç HEMOS LLEGADO (2);Conciertos WiZink Center - Madrid;Viernes 04 octubre 2024;20:45 H.
LA PEGATINA - HASTA LUEGO MARI CARMEN;Conciertos WiZink Center - Madrid;Sabado 05 octubre 2024;20:30 H.
CEPEDA - CONTRADICCION TOUR;Conciertos WiZink Center - Madrid;Sabado 05 octubre 2024;21:00 H.
RAFA ESPINO - 15 ANIVERSARIO;Conciertos WiZink Center - Madrid;Domingo 06 octubre 2024;19:00 H.
MELANIE MARTINEZ - THE TRILOGY TOUR;Conciertos WiZink Center - Madrid;Lunes 07 octubre 2024;21:00 H.
MEUTE- EMPOR 2024;Conciertos WiZink Center - Madrid;Miercoles 09 octubre 2024;21:00 H.
CRUSH- OCTUBRE 2024;Conciertos WiZink Center - Madrid;Jueves 10 octubre 2024;19:30 H.
DABUTI- OCTUBRE 2024;Conciertos WiZink Center - Madrid;Viernes 11 octubre 2024;18:30 H.
LA CASA AZUL;Conciertos WiZink Center - Madrid;Viernes 11 octubre 2024;21:00 H.
